id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
43006 Batch 14178.50 OmegaBatch-3 111 0.30 0.50 46.23 0.0000 0.0000 46.23 0.2746 1000 0 0 0
43007 Batch 14178.71 OmegaBatch-4 334 0.30 0.50 473.45 0.0000 0.0000 542.25 0.2746 1000 0 0 0
43008 Batch 14276.51 OmegaBatch-1 4 0.30 0.50 134.75 0.0000 0.0000 134.75 0.2581 1000 0 0 0
43009 Batch 14305.90 OmegaBatch-2 271 0.30 0.50 9.15 0.0000 0.0000 65.35 0.2584 1000 0 0 0
43010 Batch 14314.72 OmegaBatch-3 137 0.30 0.50 21.68 0.0000 0.0000 51.08 0.2584 1000 0 0 0
43011 Batch 14391.86 OmegaBatch-4 174 0.30 0.50 73.91 0.0000 0.0000 73.91 0.2938 1000 0 0 0
43012 Batch 14944.99 OmegaBatch-1 21 0.30 0.50 46.11 0.0000 0.0000 46.11 0.2581 1000 0 0 0
43013 Batch 14950.87 OmegaBatch-2 108 0.30 0.50 12.65 0.0000 0.0000 12.65 0.2597 1000 0 0 0
43014 Batch 14957.29 OmegaBatch-3 247 0.30 0.50 29.78 0.0000 0.0000 29.78 0.2597 1000 0 0 0
43015 Batch 14985.86 OmegaBatch-4 219 0.30 0.50 46.47 0.0000 0.0000 92.27 0.2678 1000 0 0 0
43016 Batch 15086.43 OmegaBatch-1 87 0.30 0.50 191.72 0.0000 0.0000 191.72 0.2746 1000 0 0 0
43017 Batch 15089.92 OmegaBatch-2 142 0.30 0.50 48.64 0.0000 0.0000 79.04 0.2746 1000 0 0 0
43018 Batch 15180.56 OmegaBatch-3 103 0.30 0.50 214.26 0.0000 0.0000 214.26 0.2753 1000 0 0 0
43019 Batch 15217.92 OmegaBatch-4 1 0.30 0.50 84.85 0.0000 0.0000 84.85 0.2724 1000 0 0 0
43020 Batch 15700.24 OmegaBatch-1 132 0.30 0.50 15.34 0.0000 0.0000 15.34 0.2581 1000 0 0 0
43021 Batch 15723.73 OmegaBatch-2 318 0.30 0.50 81.70 0.0000 0.0000 147.30 0.2581 1000 0 0 0
43022 Batch 15748.75 OmegaBatch-3 64 0.30 0.50 100.29 0.0000 0.0000 100.29 0.2581 1000 0 0 0
43023 Batch 15766.55 OmegaBatch-4 12 0.30 0.50 489.04 0.0000 0.0000 489.04 0.2629 1000 0 0 0
43024 Batch 15862.13 OmegaBatch-1 123 0.30 0.50 1.61 0.0000 0.0000 1.61 0.2877 1000 0 0 0
43025 Batch 16979.56 OmegaBatch-2 161 0.30 0.50 25.37 0.0000 0.0000 25.37 0.2581 1000 0 0 0
43026 Batch 17920.72 OmegaBatch-3 198 0.30 0.50 217.17 0.0000 0.0000 217.17 0.2581 1000 0 0 0
43027 Batch 17992.77 OmegaBatch-4 64 0.30 0.50 105.10 0.0000 0.0000 105.10 0.2730 1000 0 0 0
43028 Batch 17998.18 OmegaBatch-1 624 0.30 0.50 23.50 0.0000 0.0000 23.50 0.2730 1000 0 0 0
43029 Batch 18247.16 OmegaBatch-2 213 0.30 0.50 11.15 0.0000 0.0000 11.15 0.2611 1000 0 0 0
43030 Batch 18340.32 OmegaBatch-3 12 0.30 0.50 121.51 0.0000 0.0000 121.51 0.2611 1000 0 0 0
43031 Batch 19141.90 OmegaBatch-4 83 0.30 0.50 41.87 0.0000 0.0000 41.87 0.2608 1000 0 0 0
43032 Batch 19144.10 OmegaBatch-1 275 0.30 0.50 19.04 0.0000 0.0000 76.04 0.2608 1000 0 0 0
43033 Batch 19900.95 OmegaBatch-2 70 0.30 0.50 34.91 0.0000 0.0000 34.91 0.2608 1000 0 0 0
43034 Batch 20054.86 OmegaBatch-3 216 0.30 0.50 2.16 0.0000 0.0000 2.16 0.2608 1000 0 0 0
43035 Batch 20231.87 OmegaBatch-4 88 0.30 0.50 147.27 0.0000 0.0000 147.27 0.2608 1000 0 0 0
43036 Batch 20239.41 OmegaBatch-1 293 0.30 0.50 44.08 0.0000 41.8000 207.08 0.2608 1000 0 0 0
43037 Batch 20311.36 OmegaBatch-2 29 0.30 0.50 111.40 0.0000 0.0000 111.40 0.2674 1000 0 0 0
43038 Batch 20311.67 OmegaBatch-3 369 0.30 0.50 18.53 0.0000 0.0000 245.93 0.2674 1000 0 0 0
43039 Batch 20314.18 OmegaBatch-4 127 0.30 0.50 108.67 0.0000 0.0000 108.67 0.2674 1000 0 0 0
43040 Batch 20315.69 OmegaBatch-1 209 0.30 0.50 44.04 43.9249 102.5249 146.44 0.2674 1000 0 0 0
43041 Batch 20337.97 OmegaBatch-2 149 0.30 0.50 195.92 0.0000 0.0000 227.72 0.2695 1000 0 0 0
43042 Batch 21373.29 OmegaBatch-3 32 0.30 0.50 307.36 0.0000 0.0000 307.36 0.2644 1000 0 0 0
43043 Batch 21708.60 OmegaBatch-4 38 0.30 0.50 123.91 0.0000 0.0000 123.91 0.2644 1000 0 0 0
43044 Batch 21709.36 OmegaBatch-1 154 0.30 0.50 95.34 0.0000 0.0000 128.14 0.2644 1000 0 0 0
43045 Batch 21844.00 OmegaBatch-2 163 0.30 0.50 41.49 0.0000 0.0000 41.49 0.2759 1000 0 0 0
43046 Batch 21851.76 OmegaBatch-3 25 0.30 0.50 191.52 0.0000 0.0000 191.52 0.2759 1000 0 0 0
43047 Batch 21871.43 OmegaBatch-4 33 0.30 0.50 105.27 0.0000 0.0000 105.27 0.2664 1000 0 0 0
43048 Batch 21925.76 OmegaBatch-1 119 0.30 0.50 12.32 0.0000 0.0000 12.32 0.2689 1000 0 0 0
43049 Batch 21926.67 OmegaBatch-2 362 0.30 0.50 29.67 0.0000 0.0000 29.67 0.2689 1000 0 0 0
43050 Batch 22095.86 OmegaBatch-3 198 0.30 0.50 64.27 0.0000 0.0000 64.27 0.2716 1000 0 0 0
43051 Batch 22243.57 OmegaBatch-4 780 0.30 0.50 147.52 0.0000 0.0000 147.52 0.2716 1000 0 0 0
43052 Batch 22585.34 OmegaBatch-1 15 0.30 0.50 27.85 0.0000 0.0000 27.85 0.2716 1000 0 0 0
43053 Batch 22623.49 OmegaBatch-2 428 0.30 0.50 109.16 0.0000 0.0000 196.76 0.2716 1000 0 0 0
43054 Batch 22627.84 OmegaBatch-3 54 0.30 0.50 98.28 0.0000 0.0000 98.28 0.2716 1000 0 0 0
43055 Batch 22657.81 OmegaBatch-4 115 0.30 0.50 221.67 0.0000 0.0000 221.67 0.2756 1000 0 0 0
43056 Batch 22691.18 OmegaBatch-1 197 0.30 0.50 4.81 0.0000 0.0000 4.81 0.2842 1000 0 0 0
43057 Batch 22855.81 OmegaBatch-2 368 0.30 0.50 46.76 0.0000 0.0000 46.76 0.3123 1000 0 0 0
43058 Batch 22880.78 OmegaBatch-3 88 0.30 0.50 256.63 0.0000 0.0000 256.63 0.3123 1000 0 0 0
43059 Batch 22931.48 OmegaBatch-4 95 0.30 0.50 15.81 0.0000 0.0000 15.81 0.3058 1000 0 0 0
43060 Batch 23012.32 OmegaBatch-1 191 0.30 0.50 54.09 0.0000 0.0000 54.09 0.2782 1000 0 0 0
43061 Batch 23012.56 OmegaBatch-2 123 0.30 0.50 8.20 0.0000 0.0000 8.20 0.2782 1000 0 0 0
43062 Batch 23014.11 OmegaBatch-3 362 0.30 0.50 38.95 0.0000 0.0000 113.35 0.2782 1000 0 0 0
