id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
3573 Batch 13427.57 MesosBatch-2 65 0.30 0.50 89.88 0.0110 0.0110 103.88 0.2590 1000 0 0 0
3574 Batch 13578.09 MesosBatch-3 263 0.30 0.50 218.32 0.0110 0.0110 271.92 0.2590 1000 0 0 0
3575 Batch 13592.93 MesosBatch-4 105 0.30 0.50 4.90 38.7877 38.7877 26.90 0.2590 1000 0 0 0
3576 Batch 13745.57 MesosBatch 223 0.30 0.50 1.60 0.0110 0.0110 47.20 0.2779 1000 0 0 0
3577 Batch 13785.74 MesosBatch-2 9 0.30 0.50 52.97 5.4489 5.4489 55.77 0.2779 1000 0 0 0
3578 Batch 14160.08 MesosBatch-3 104 0.30 0.50 92.00 0.0110 0.0110 113.80 0.2581 1000 0 0 0
3579 Batch 14160.51 MesosBatch-4 71 0.30 0.50 32.05 24.2049 24.2049 47.25 0.2581 1000 0 0 0
3580 Batch 14168.16 MesosBatch 9 0.30 0.50 85.96 13.7433 13.7433 88.76 0.2581 1000 0 0 0
3581 Batch 14275.13 MesosBatch-2 123 0.30 0.50 234.01 0.0110 0.0110 259.61 0.2581 1000 0 0 0
3582 Batch 14283.48 MesosBatch-3 368 0.30 0.50 116.89 17.2692 17.2692 191.49 0.2581 1000 0 0 0
3583 Batch 14398.99 MesosBatch-4 384 0.30 0.50 29.61 0.0110 0.0110 107.41 0.2950 1000 0 0 0
3584 Batch 14457.83 MesosBatch 12 0.30 0.50 2.74 18.9857 18.9857 6.14 0.2950 1000 0 0 0
3585 Batch 15382.40 MesosBatch-2 166 0.30 0.50 107.12 0.0110 0.0110 141.32 0.2581 1000 0 0 0
3586 Batch 15383.03 MesosBatch-3 221 0.30 0.50 353.21 33.5939 33.5939 398.41 0.2581 1000 0 0 0
3587 Batch 15496.25 MesosBatch-4 31 0.30 0.50 310.68 0.0110 0.0110 317.88 0.2872 1000 0 0 0
3588 Batch 15733.62 MesosBatch 87 0.30 0.50 182.59 0.0110 0.0110 200.99 0.2770 1000 0 0 0
3589 Batch 15806.16 MesosBatch-2 22 0.30 0.50 32.23 0.0110 0.0110 37.63 0.2836 1000 0 0 0
3590 Batch 15810.70 MesosBatch-3 84 0.30 0.50 13.04 2.0907 2.0907 30.84 0.2836 1000 0 0 0
3591 Batch 15811.22 MesosBatch-4 1 0.30 0.50 45.03 0.3658 0.3658 46.23 0.2836 1000 0 0 0
3592 Batch 15813.00 MesosBatch 303 0.30 0.50 90.84 71.2209 71.2209 152.44 0.2853 1000 0 0 0
3593 Batch 15813.07 MesosBatch-2 120 0.30 0.50 95.43 17.5365 17.5365 120.43 0.2853 1000 0 0 0
3594 Batch 15828.08 MesosBatch-3 138 0.30 0.50 214.60 27.5361 27.5361 243.20 0.2664 1000 0 0 0
3595 Batch 18404.68 MesosBatch-4 178 0.30 0.50 41.32 0.0110 0.0110 77.92 0.2581 1000 0 0 0
3596 Batch 18411.74 MesosBatch 197 0.30 0.50 11.12 29.5604 29.5604 51.52 0.2581 1000 0 0 0
3597 Batch 18420.91 MesosBatch-2 37 0.30 0.50 252.55 60.8013 60.8013 260.95 0.2581 1000 0 0 0
3598 Batch 18456.38 MesosBatch-3 495 0.30 0.50 85.08 33.7469 33.7469 185.08 0.2715 1000 0 0 0
3599 Batch 19016.46 MesosBatch-4 58 0.30 0.50 154.77 0.0110 0.0110 167.37 0.2581 1000 0 0 0
3600 Batch 19191.78 MesosBatch 149 0.30 0.50 45.83 0.0110 0.0110 76.63 0.2581 1000 0 0 0
3601 Batch 19324.26 MesosBatch-2 225 0.30 0.50 226.89 0.0110 0.0110 272.89 0.2581 1000 0 0 0
3602 Batch 19336.35 MesosBatch-3 202 0.30 0.50 8.59 33.9340 33.9340 49.99 0.2581 1000 0 0 0
3603 Batch 19379.23 MesosBatch-4 74 0.30 0.50 50.42 49.2796 49.2796 66.22 0.2750 1000 0 0 0
3604 Batch 19384.49 MesosBatch 79 0.30 0.50 286.21 27.2127 27.2127 303.01 0.2750 1000 0 0 0
3605 Batch 19414.72 MesosBatch-2 616 0.30 0.50 111.26 42.8189 42.8189 235.46 0.2902 1000 0 0 0
3606 Batch 19429.71 MesosBatch-3 52 0.30 0.50 14.20 14.6080 14.6080 25.60 0.2809 1000 0 0 0
3607 Batch 19431.73 MesosBatch-4 4 0.30 0.50 4.49 23.9967 23.9967 6.29 0.2809 1000 0 0 0
3608 Batch 19607.79 MesosBatch 51 0.30 0.50 15.23 0.0110 0.0110 26.43 0.3103 1000 0 0 0
3609 Batch 19661.74 MesosBatch-2 414 0.30 0.50 40.87 0.0110 0.0110 124.67 0.3103 1000 0 0 0
3610 Batch 19857.13 MesosBatch-3 29 0.30 0.50 158.96 0.0110 0.0110 165.76 0.2581 1000 0 0 0
3611 Batch 19857.60 MesosBatch-4 151 0.30 0.50 183.74 6.3462 6.3462 214.94 0.2581 1000 0 0 0
3612 Batch 19871.48 MesosBatch 39 0.30 0.50 145.94 23.6830 23.6830 154.74 0.2603 1000 0 0 0
3613 Batch 19874.80 MesosBatch-2 44 0.30 0.50 252.14 29.1693 29.1693 261.94 0.2603 1000 0 0 0
3614 Batch 19882.12 MesosBatch-3 488 0.30 0.50 9.63 31.6655 31.6655 108.23 0.2603 1000 0 0 0
3615 Batch 19942.60 MesosBatch-4 35 0.30 0.50 23.40 69.7882 69.7882 31.40 0.2779 1000 0 0 0
3616 Batch 20229.44 MesosBatch 12 0.30 0.50 5.28 0.0110 0.0110 8.68 0.2581 1000 0 0 0
3617 Batch 20266.65 MesosBatch-2 173 0.30 0.50 10.69 0.0110 0.0110 46.29 0.2581 1000 0 0 0
3618 Batch 20283.28 MesosBatch-3 41 0.30 0.50 25.35 18.9883 18.9883 34.55 0.2581 1000 0 0 0
3619 Batch 20348.17 MesosBatch-4 16 0.30 0.50 85.49 0.0110 0.0110 89.69 0.2581 1000 0 0 0
3620 Batch 20547.90 MesosBatch 357 0.30 0.50 205.28 0.0110 0.0110 277.68 0.2581 1000 0 0 0
3621 Batch 20735.51 MesosBatch-2 48 0.30 0.50 1.36 0.0110 0.0110 11.96 0.2849 1000 0 0 0
3622 Batch 20918.33 MesosBatch-3 349 0.30 0.50 20.53 0.0110 0.0110 91.33 0.2581 1000 0 0 0
3623 Batch 22394.54 MesosBatch-4 7 0.30 0.50 83.05 0.0110 0.0110 85.45 0.2581 1000 0 0 0
3624 Batch 22406.58 MesosBatch 327 0.30 0.50 118.19 0.0110 0.0110 184.59 0.2587 1000 0 0 0
3625 Batch 22768.55 MesosBatch-2 44 0.30 0.50 62.50 0.0110 0.0110 72.30 0.2581 1000 0 0 0
3626 Batch 23001.88 MesosBatch-3 125 0.30 0.50 89.66 0.0110 0.0110 115.66 0.2581 1000 0 0 0
3627 Batch 23050.47 MesosBatch-4 258 0.30 0.50 27.98 0.0110 0.0110 80.58 0.2675 1000 0 0 0
3628 Batch 23095.58 MesosBatch 330 0.30 0.50 38.95 7.5124 7.5124 105.95 0.2675 1000 0 0 0
3629 Batch 23270.22 MesosBatch-2 534 0.30 0.50 150.72 0.0110 0.0110 258.52 0.2581 1000 0 0 0
3630 Batch 23690.58 MesosBatch-3 363 0.30 0.50 197.87 0.0110 0.0110 271.47 0.2581 1000 0 0 0
3631 Batch 25279.70 MesosBatch-4 196 0.30 0.50 254.70 0.0110 0.0110 294.90 0.2581 1000 0 0 0
3632 Batch 26936.59 MesosBatch 378 0.30 0.50 57.99 0.0110 0.0110 134.59 0.2656 1000 0 0 0
3633 Batch 27080.60 MesosBatch-2 25 0.30 0.50 50.00 0.0110 0.0110 56.00 0.2656 1000 0 0 0
3634 Batch 27114.21 MesosBatch-3 72 0.30 0.50 69.45 0.0110 0.0110 84.85 0.2674 1000 0 0 0
3635 Batch 28044.28 MesosBatch-4 142 0.30 0.50 27.47 0.0110 0.0110 56.87 0.2644 1000 0 0 0
3636 Batch 28210.51 MesosBatch 83 0.30 0.50 48.12 0.0110 0.0110 65.72 0.2644 1000 0 0 0
3637 Batch 28562.00 MesosBatch-2 398 0.30 0.50 116.57 0.0110 0.0110 197.17 0.2624 1000 0 0 0
3638 Batch 28646.33 MesosBatch-3 212 0.30 0.50 385.51 0.0110 0.0110 428.91 0.2923 1000 0 0 0
